title,body,rating,date
The only cat bed ever my 14yo ginger ninja has ever liked,"This is the only bed his Lordship has ever accepted in his life. I keep forgetting how picky he is. Clearly too small for him, but he does not sleep on anything else now. I am still amazed.A lucky find.",5,2024-06-22
Absolutely rubbish!!!,"It’s tiny, like an ugly little hat. Literally fits on my head. It’s a weird shape. Complete waste of money",1,2024-06-08
Kitten bed,"Fabulous and soft kitten bed :) little one loves it :) I bought 2 :) the 3 year old kitty has turned her nose up for now but I'm sure she will eventually use it, she's a bit of a snob anyway 🤣 our new kitten however loves it and fits perfect into the smallest one with plenty of room 😊  great quality, very fluffy and soft quick delivery,  thankyou x",5,2023-09-17
So soft and comfy,"I bought this when I first got my kitten, he loved laying in it, it’s so soft for them.",4,2024-05-11
Very soft,"This was a fairly cheap item and I think that shows in the quality as the product doesn't have the greatest of finishes and its a bit of a messy finish on one part.  That said, it was cheap and it does the job, the base is thinner than expected but it sticks to the floor as described and does the job needed",3,2023-11-10
Really flimsy and not the best quality but it does the job,"It’s a little noisy, flimsy and just not the best quality. In actually fluff however is soft and I’m assuming comfy. It is incredibly small tho my kitten is 12 weeks and is already a little too big and prefers another bed. I wouldn’t feel comfortable putting into the wash as it feels like it could just fall apart, the filling isn’t exactly full hence why it’s so floppy not very nice but will do the job until I purchase a different one",2,2023-11-19
Quite small,"Smaller than I thought but doesn't bother any of our three cats, first come, first in bed!!!",5,2024-05-13
Lovely item but cant get cat in it!,You know what cats are like.They do what they want when they want.The only want love from u on their terms .They cry for ur attention then claw u when u stroke them ' wrong '.So i bought this for our oldest cat as a Xmas present who turned her nose up at it persuading our other 2 cats not to lay in it either!I still live in hope that one day one of them will change their mind but all i can do is admire & stroke the lovely soft bed & wish i could fit in it myself.,5,2024-03-10
It was dispatched quickly,"It was smaller than I thought. But my cat goes to sleep on it at night, she likes it. It's warm and cosy.",4,2024-03-02
"A bit deflated, and rather small.","Could do with more stuffing - reasonable for the cheap price, I suppose.The cat is small, but this bed is smaller. OK for a narrower high up perching spot, on a shelf, for example.",3,2024-03-22
Nothing like on the photo,It’s not really a bed but more a round shaped fluff thing. There is a non slip base but expected it to be more like a nest as the photos show. I’ve now but it in the box it came in so I e still created a nice little bed for when my kittens come home with me this weekend.,3,2024-02-02
